1111111111222;AR;5000.0;8920;PK00COMSATS0391841445505;8035 1189 6404 4329
1111222233334;ARS;2000.0;7396;PK00COMSATS0276680850126;8250 3740 5016 2942
0000000999999;qq;12000.0;4618;PK00COMSATS0166166902290;9487 8938 5840 8030
1111111222222;qwe;1444.0;1768;PK00COMSATS0594392874699;2119 5311 8637 8503
0000000000000;000;20500.0;8318;PK00COMSATS0321427297416;2676 8054 5803 2842
1122334455667;AAA;1000.0;7766;PK00COMSATS0514441230240;3040 2899 7094 8233
1234567890987;12;112466.0;2436;PK00COMSATS0377322731702;8933 5432 4629 4816
1234567890123;LS;5000.0;6920;PK00COMSATS0339972661100;2147 4068 4638 7145
1111222234343;ARS;5000.0;8561;PK00COMSATS0929727688338;6808 7230 6567 5483
3333333333333;Adnan3;8766.0;9414;PK00COMSATS0415427456525;7022 8432 5212 7112
